UserID,UserName,Age,Gender,Location,LastLogin,PurchaseAmount,PurchaseCategory,ReviewScore,LoginFrequency
1,User_1,62,Female,Location_1,2023-06-10,-0.7692477672765956,Clothing,0.009421265141318986,Monthly
2,User_2,65,Female,Location_2,2023-08-14,-0.08872423348214893,Electronics,0.34589502018842533,Weekly
3,User_3,18,Male,Location_3,2023-02-17,0.6993533070901558,Home & Garden,0.009421265141318986,Weekly
4,User_4,21,Female,Location_4,2023-03-14,-0.04961368556292786,Books,-0.32705248990578734,Weekly
5,User_5,21,Male,Location_5,2023-07-26,0.4725121291586735,Home & Garden,-0.6635262449528937,Monthly
6,User_6,57,Female,Location_6,2023-02-20,0.23002673205950283,Books,-0.32705248990578734,Monthly
7,User_7,27,Female,Location_7,2023-01-27,-0.7790254042564009,Home & Garden,-0.6635262449528937,Weekly
8,User_8,37,Female,Location_8,2023-03-11,-0.7868475138402451,Home & Garden,-0.6635262449528937,Daily
9,User_9,39,Female,Location_9,2023-01-06,-0.1708563841125132,Food,-0.32705248990578734,Weekly
10,User_10,68,Female,Location_10,2023-10-04,0.4979339853061672,Home & Garden,-0.32705248990578734,Monthly
11,User_11,54,Male,Location_11,2023-03-22,0.851884443975118,Books,0.34589502018842533,Daily
12,User_12,41,Male,Location_12,2023-03-23,0.5018450400980893,Food,-0.32705248990578734,Daily
13,User_13,24,Female,Location_13,2023-11-10,-0.21192245942769533,Home & Garden,0.6823687752355316,Daily
14,User_14,42,Female,Location_14,2023-03-09,0.7521525467811042,Food,0.009421265141318986,Weekly
15,User_15,42,Male,Location_15,2023-08-16,0.6230877386476746,Home & Garden,0.34589502018842533,Daily
16,User_16,30,Male,Location_16,2023-06-03,-0.39574203464803437,Clothing,-0.6635262449528937,Daily
17,User_17,19,Female,Location_17,2023-04-03,0.6797980331305452,Food,0.6823687752355316,Monthly
18,User_18,56,Female,Location_18,2023-08-26,0.8694841905387675,Books,-0.32705248990578734,Weekly
19,User_19,57,Female,Location_19,2023-07-18,-0.19823376765596795,Clothing,-0.32705248990578734,Daily
20,User_20,41,Female,Location_20,2023-11-24,-0.855290972698882,Home & Garden,0.6823687752355316,Daily
21,User_21,64,Male,Location_21,2023-06-22,0.5722440263526872,Home & Garden,0.009421265141318986,Monthly
22,User_22,42,Male,Location_22,2023-11-14,-0.7164485275856473,Clothing,0.6823687752355316,Monthly
23,User_23,35,Male,Location_23,2023-06-01,-0.1239237266094479,Electronics,-0.6635262449528937,Daily
24,User_24,55,Male,Location_24,2023-11-17,0.6817535605265063,Clothing,0.6823687752355316,Daily
25,User_25,43,Male,Location_25,2023-09-01,0.8851284097064559,Books,0.34589502018842533,Daily
26,User_26,31,Male,Location_26,2023-07-08,-0.33316515797728063,Home & Garden,0.6823687752355316,Daily
27,User_27,26,Female,Location_27,2023-12-10,-0.3683646511045796,Food,0.6823687752355316,Weekly
28,User_28,27,Female,Location_28,2023-05-15,0.3845133963404261,Electronics,-0.6635262449528937,Daily
29,User_29,38,Male,Location_29,2023-01-18,0.9203279028337549,Food,-0.6635262449528937,Weekly
30,User_30,69,Male,Location_30,2023-02-14,-0.454407856526866,Clothing,0.009421265141318986,Weekly
31,User_31,34,Male,Location_31,2023-01-25,0.9125057932499107,Home & Garden,-0.6635262449528937,Daily
32,User_32,69,Male,Location_32,2023-02-13,-0.526762370177425,Books,-0.6635262449528937,Daily
33,User_33,23,Female,Location_33,2023-11-30,0.5565998071849988,Clothing,-0.6635262449528937,Monthly
34,User_34,33,Female,Location_34,2023-02-09,-0.6968932536260367,Clothing,0.6823687752355316,Weekly
35,User_35,65,Male,Location_35,2023-09-21,-0.6480050687270104,Food,0.6823687752355316,Weekly
36,User_36,18,Male,Location_36,2023-08-03,-0.3937865072520733,Food,-0.6635262449528937,Daily
37,User_37,36,Female,Location_37,2023-09-01,-0.5384955345531913,Home & Garden,-0.32705248990578734,Daily
38,User_38,53,Male,Location_38,2023-10-11,0.417757362071764,Food,-0.6635262449528937,Daily
39,User_39,42,Female,Location_39,2023-09-21,0.6915311975063115,Electronics,-0.6635262449528937,Daily
40,User_40,67,Female,Location_40,2023-10-04,0.6582872317749736,Home & Garden,0.009421265141318986,Monthly
41,User_41,69,Male,Location_41,2023-05-08,-0.5776060824724124,Books,-0.6635262449528937,Daily
42,User_42,47,Male,Location_42,2023-10-14,0.11073956090587855,Electronics,-0.6635262449528937,Monthly
43,User_43,37,Female,Location_43,2023-09-10,0.126383780073567,Clothing,0.009421265141318986,Daily
44,User_44,37,Female,Location_44,2023-07-30,0.36886917717273765,Food,-0.6635262449528937,Daily
45,User_45,32,Male,Location_45,2023-01-25,-0.8963570480140641,Books,-0.6635262449528937,Weekly
46,User_46,57,Female,Location_46,2023-12-31,0.14789458142913858,Home & Garden,0.34589502018842533,Daily
47,User_47,50,Male,Location_47,2023-04-11,0.924238957625677,Food,0.009421265141318986,Weekly
48,User_48,19,Male,Location_48,2023-09-08,-0.2823214456822933,Electronics,0.009421265141318986,Weekly
49,User_49,27,Female,Location_49,2023-01-29,-0.4680965482985934,Clothing,0.34589502018842533,Daily
50,User_50,50,Female,Location_50,2023-10-29,-0.7438259111291019,Clothing,0.009421265141318986,Monthly
51,User_51,49,Male,Location_51,2023-04-29,-0.6382274317472051,Food,-0.32705248990578734,Weekly
52,User_52,28,Male,Location_52,2023-02-12,-0.6440940139350882,Home & Garden,0.6823687752355316,Daily
53,User_53,70,Female,Location_53,2023-06-26,0.5390000606213493,Home & Garden,0.6823687752355316,Monthly
54,User_54,41,Male,Location_54,2023-11-08,0.02665188287955324,Food,0.009421265141318986,Weekly
55,User_55,53,Male,Location_55,2023-03-15,-0.21192245942769533,Food,0.6823687752355316,Weekly
56,User_56,29,Male,Location_56,2023-08-28,-0.7399148563371798,Food,-0.6635262449528937,Weekly
57,User_57,68,Female,Location_57,2023-12-13,0.4979339853061672,Books,-0.6635262449528937,Weekly
58,User_58,46,Female,Location_58,2023-06-18,0.01100766371186481,Food,-0.32705248990578734,Monthly
59,User_59,52,Female,Location_59,2023-06-03,-0.9139567945777136,Books,0.34589502018842533,Monthly
60,User_60,18,Male,Location_60,2023-08-29,-0.04570263077100575,Electronics,0.6823687752355316,Daily
61,User_61,18,Female,Location_61,2023-06-25,0.022740828087631133,Food,-0.32705248990578734,Weekly
