Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.0,0.0,0.9768820633784772,0.2533333333333333,0.0,0.13111742940815552,0.18041773645132186,0.15789473684210525,0.0,0.0,0.0,0.5
1.3333511113481512e-05,0.0,0.23862961213327563,0.12,0.0,0.038783138923254155,0.22899174241898548,0.21052631578947367,0.0,0.0,0.0,0.0
2.6667022226963028e-05,0.0,0.21757322157796735,0.7066666666666667,0.0,0.4040872609991246,0.2428700298383179,0.10526315789473684,0.0,0.2,0.0,0.5
4.000053334044454e-05,0.0,0.7700164243384596,0.24,0.0,0.22585865930416116,0.2428700298383179,0.3684210526315789,0.0,0.0,0.0,0.0
6.000080001066681e-05,0.0,0.6575062602953197,0.12,0.0,0.33294215593558346,0.17347859274165567,0.21052631578947367,0.0,0.0,0.0,0.0
6.666755556740757e-05,0.0,0.0191856309910445,0.4,0.0,0.5718317776224782,0.4511137325654015,0.3157894736842105,0.0,0.4,0.0,1.0
7.333431112414832e-05,0.0,0.010565253784637022,0.3333333333333333,0.0,0.32097668820057845,0.8642009576018319,0.631578947368421,0.0,0.4,0.0,1.0
9.33345777943706e-05,0.0,0.5597641674590547,0.5733333333333334,0.0,0.22580673677586116,0.7884255082922768,0.3157894736842105,0.0,0.2,0.0,1.0
0.0001066680889078,0.0,0.16971191690337603,0.4266666666666666,0.0,0.20254988725351586,0.6106446464506281,0.3157894736842105,0.0,0.0,0.0,0.0
0.0001133348444645,0.0,0.2263852966949384,0.2933333333333333,0.0,0.5679147848192796,0.22760391367705227,0.3157894736842105,0.0,0.2,0.0,1.0
0.0001733356444752,0.0,0.03513104922972092,0.64,0.0,0.04559672952986956,0.17347859274165567,0.8421052631578947,0.0,0.0,0.0,0.5
0.000180002400032,0.0,0.46184414684101177,0.0399999999999999,0.0,0.012653040221317373,0.2359308861286517,0.0,0.0,0.0,0.0,0.0
0.0002133361778157,0.0,0.19072072947961463,0.48,0.0,0.3376070427169575,0.4857400596766359,0.42105263157894735,0.0,0.4,0.0,0.0
0.0002266696889291,0.0,0.0,0.5733333333333334,0.0,0.07911482532278916,0.763305808063285,0.42105263157894735,0.0,0.2,0.0,0.0
0.0002466699555994,0.0,0.37113249062295256,0.0666666666666666,0.0,0.010747499677658687,0.06939143709666225,0.0,0.0,0.0,0.0,0.0
0.0002533367111561,0.0,0.3107675446515205,0.4133333333333333,0.0,0.8696326614040915,0.2428700298383179,0.47368421052631576,0.0,0.4,0.0,0.0
0.0002733369778263,0.0,0.4787261430630649,0.1333333333333333,0.0,0.051866589718088586,0.6418707931441261,0.15789473684210525,0.0,0.0,0.0,0.5
0.0002800037333831,0.0,0.7335210209099181,0.0933333333333333,0.0,0.18302534047778615,0.25404205121088047,0.15789473684210525,0.0,0.0,0.0,0.5
0.0003000040000533,0.0,0.06270668027404148,0.5466666666666667,0.0,0.012014635076205501,0.21740337242384283,0.05263157894736842,0.0,0.0,0.0,0.0
